Gender,Age,Income,SpendingScore,SpendingPower,Cluster,PCA1,PCA2
1,32,48,47,2256,0,-0.2933462553291262,-0.9756261152381623
0,70,49,55,2695,2,-0.895368759572752,1.264445272312061
1,47,49,42,2058,4,-0.7778934995986136,-0.3641085147485738
1,60,50,49,2450,4,-0.7826022325821769,0.07042206387794227
1,60,50,56,2800,4,-0.5267647242734439,0.009594595317227405
0,59,54,47,2538,2,-0.802587970810138,1.0786411656706458
0,26,54,54,2916,0,0.19012539321696714,-0.16747433550247784
1,45,54,53,2862,4,-0.18624690815396852,-0.3903601194500646
0,40,54,48,2592,2,-0.34530040384066935,0.386605477961391
1,23,54,52,2808,0,0.26186836282782466,-1.17355949998539
1,49,54,42,2268,4,-0.6893959550618142,-0.1541428958711644
0,57,54,51,2754,2,-0.6075794104540532,0.9731178062994548
0,38,54,55,2970,2,-0.03715991728890854,0.25591161375368177
0,67,54,41,2214,2,-1.2055157915822239,1.4168329203670151
1,46,54,44,2376,4,-0.5477256827885882,-0.278867261812593
1,21,54,57,3078,0,0.49458756524913483,-1.2874730276354205
0,48,54,46,2484,2,-0.5973856563518541,0.6912365595424026
1,55,57,58,3306,4,-0.1249764172139794,0.013897871051573474
1,22,57,55,3135,0,0.4880150663276368,-1.1489897550288537
1,34,58,60,3480,0,0.4476950507975899,-0.7290932641461769
1,50,58,46,2668,4,-0.4498558471727215,-0.040121999413436714
1,68,59,55,3245,4,-0.46718156435722075,0.56329975746929
0,18,59,41,2419,0,0.007761518141068348,-0.2086242978880429
0,48,60,49,2940,2,-0.31285200697603194,0.8348140097650338
1,40,60,40,2400,4,-0.4103613105832071,-0.2964895385797743
1,32,60,42,2520,4,-0.1547887782943748,-0.6002222098998551
0,24,60,52,3120,0,0.3355027440283174,-0.05256111475008616
1,47,60,47,2820,4,-0.2887623092380055,-0.10020687872297605
1,27,60,50,3000,0,0.2712604575759769,-0.8436566307264298
0,48,61,42,2562,2,-0.5624992733279792,0.918001338327967
0,20,61,49,2989,0,0.3340388362198948,-0.14453893864010564
1,23,62,41,2542,0,0.05698810553642043,-0.8610618968975883
1,49,62,48,2976,4,-0.23692132494869916,0.019914427694044556
0,67,62,59,3658,2,-0.2749400716503228,1.4967965664996443
0,26,62,55,3410,0,0.4703207852996442,0.05272641067460588
0,49,62,56,3472,2,0.0024473714553576,0.8725060745118021
1,21,62,42,2604,0,0.14118959288192767,-0.940815811258307
1,66,63,50,3150,4,-0.5034037067456165,0.6442143313571248
0,54,63,46,2898,2,-0.48062742736689246,1.1582251278115323
0,68,63,43,2709,2,-0.9107676777285599,1.6851130133517882
0,66,63,48,3024,2,-0.6649711761410716,1.574568524180249
0,65,63,52,3276,2,-0.4815837724996357,1.5077217387197674
1,19,63,54,3402,0,0.6958015150850398,-1.0777742379875197
1,38,64,42,2688,4,-0.18115592527433894,-0.27393180503509446
0,19,64,46,2944,0,0.31997256821776465,-0.07322182505425635
1,18,65,48,3120,0,0.5324805941723063,-1.0113578343070277
1,19,65,50,3250,0,0.5922122285141858,-0.9905097422584166
1,63,65,43,2795,4,-0.6657908039430006,0.6456357341474827
1,49,65,59,3835,4,0.2978881838390537,0.02083092172220618
1,51,67,43,2881,4,-0.34714822342283175,0.2692105247046026
1,50,67,57,3819,4,0.2557741714989028,0.1293927146303861
0,27,67,56,3752,0,0.6412792865039699,0.2241601848413101
1,38,67,40,2680,4,-0.18453486027716962,-0.17629626446982014
1,40,69,58,4002,4,0.5804574878590172,-0.18024067340049785
0,39,69,91,6279,1,1.9099266972884745,0.45888332519012554
1,23,70,29,2030,3,-0.24139927026257044,-0.5545486897058416
1,31,70,77,5390,1,1.6152334862569564,-0.6119277653672236
0,43,71,35,2485,2,-0.48531390541097025,1.063922430795848
0,40,71,95,6745,1,2.1399923877453686,0.5289331768608591
0,59,71,11,781,2,-1.8622647641778638,1.810442010663009
0,38,71,75,5325,1,1.3311392781693643,0.5993188987887723
0,47,71,9,639,2,-1.6825707217738815,1.3929007339463844
0,39,71,75,5325,1,1.3090562821217726,0.6353002419166889
1,25,72,34,2448,3,-0.025347811898047013,-0.4645441504039436
1,31,72,71,5112,1,1.4309919958891804,-0.5092305484718378
0,20,73,5,365,3,-1.2253731261325087,0.4995351275689422
1,29,73,88,6424,1,2.2450651505639194,-0.6698721412896529
1,44,73,7,511,3,-1.5879854289165098,0.43423052025070136
0,32,73,73,5329,1,1.4494183711251019,0.4575086402364208
0,19,74,10,740,3,-0.969895993599744,0.4539201834410309
1,35,74,72,5328,1,1.456103386971541,-0.3126545044943294
1,57,75,5,375,3,-1.9299681916042373,0.9655843280845713
0,32,75,93,6975,1,2.396769031484579,0.38099259318898754
1,28,76,40,3040,3,0.2698585464698459,-0.2890520324215453
1,32,76,87,6612,1,2.2544140135190354,-0.4620515515317857
0,25,77,12,924,3,-0.961904896182519,0.7320862891365852
0,28,77,97,7469,1,2.7453866883272764,0.27323201982897677
0,48,77,36,2772,2,-0.40434352593993284,1.3996200143893422
1,32,77,74,5698,1,1.716894285370629,-0.34439512790559534
1,34,78,22,1716,3,-0.6150700709248292,0.10041798893320485
0,34,78,90,7020,1,2.3426083736720305,0.5669918131155683
0,43,78,17,1326,3,-1.1181583090542904,1.3721382875261838
0,39,78,88,6864,1,2.142822990193031,0.7600852242691065
1,44,78,20,1560,3,-0.9252704346417878,0.473418115726326
1,38,78,76,5928,1,1.7095988323929099,-0.11169741743191998
1,47,78,16,1248,3,-1.1702602292666449,0.6077355361379864
1,27,78,89,6942,1,2.533419409983185,-0.5932057126797116
0,37,78,1,78,3,-1.7006235586970675,1.2617437928703261
1,30,78,78,6084,1,1.9756332040146847,-0.41273485796920806
0,34,78,1,78,3,-1.6343745705542922,1.1537997634865764
1,30,78,73,5694,1,1.7522071959120824,-0.37976811918431996
1,56,79,35,2765,4,-0.49548990211564603,0.8333705307787664
1,29,79,83,6557,1,2.2595897880649045,-0.4510127849661835
0,19,81,5,405,3,-1.0770480393223845,0.6621976901992517
1,31,81,93,7533,1,2.7478891714190965,-0.3813972407961408
0,50,85,26,2210,2,-0.7173914601093496,1.749486502843653
1,36,85,75,6375,1,1.9619387098720646,0.033431747262351125
0,42,86,20,1720,3,-0.8009048196061289,1.5240049094948696
1,33,86,95,8170,1,3.0045115208421445,-0.164329219039997
1,36,87,27,2349,3,-0.23624758647837624,0.37771209968751446
0,32,87,63,5481,1,1.4739929444486797,0.9356047566266299
0,40,87,13,1131,3,-1.0677040966198625,1.5194325047139343
0,28,87,75,6525,1,2.1299328660841206,0.7206449033796103
0,36,87,10,870,3,-1.121274096790764,1.3932657523861065
0,36,87,92,8004,1,2.7573801424172415,0.9078634673611927
1,52,88,13,1144,3,-1.2336796690620155,1.0617165789858243
1,30,88,86,7568,1,2.7263088154232253,-0.15653406521440993
0,58,88,15,1320,2,-1.351910374742312,2.1808367643310946
0,27,88,69,6072,1,1.9025909802352792,0.7498028102307799
0,59,93,14,1302,2,-1.329606032999036,2.3501842595759284
0,35,93,90,8370,1,2.927752774179242,1.0708865697640684
1,37,97,32,3104,3,0.21443913319304897,0.652614855577762
1,32,97,86,8342,1,3.036017421927981,0.1934814383709806
0,46,98,15,1470,3,-0.9000511439043156,2.0048522811683025
1,29,98,88,8624,1,3.242580479081727,0.1062401718241073
1,41,99,39,3861,3,0.5288760193125552,0.8150961421007343
0,30,99,97,9603,1,3.636574301658948,1.042997310930279
1,54,101,24,2424,3,-0.47741847245734303,1.410676492034716
0,28,101,68,6868,1,2.276066958399356,1.1757416730638839
1,41,103,17,1751,3,-0.5113885232864704,1.0284765916312388
1,36,103,85,8755,1,3.1316514689802872,0.52749701548239
1,34,103,23,2369,3,-0.045105344009610554,0.748277231455593
1,32,103,69,7107,1,2.3887775679874075,0.45911819838466844
0,33,113,8,904,3,-0.7166723180225612,1.9485931635352014
1,38,113,91,10283,1,3.806912014680064,0.8838206943558253
1,47,120,16,1920,3,-0.3732289813239175,1.6852048364145136
1,35,120,79,9480,1,3.4758798643112643,1.0361472727251904
1,45,126,28,3528,3,0.4884104663935566,1.7311698553534223
0,32,126,74,9324,1,3.391752903044812,2.0403473575376654
0,32,137,18,2466,3,0.32337056758472454,2.4921723595068754
0,30,137,83,11371,1,4.386551160620277,2.278759014936667
